@relation spk1f

@attribute IdW numeric
@attribute TotLines numeric
@attribute PoS {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute DepId numeric
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,NAME,POSTHON,NMOD,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,LGS,SUB,LOCbPRD}
@attribute Prop {P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {T1,R1,SP1}
@attribute TH3 {T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute IntRange numeric
@attribute 'min [dB]' numeric
@attribute 'RMS [dB]' numeric
@attribute 'max [dB]' numeric
@attribute 'MinPitch (Hz)' numeric
@attribute 'MaxPitch (Hz)' numeric
@attribute PitchRange numeric
@attribute 'Speech ratio' numeric
@attribute Duration[ms] numeric
@attribute ToBI {S,L*+H,LL-,LH-,U,H*,L*,HL-,HH-}

@data
2,13,NNP,3,SBJ,?,?,T1,?,?,3,A,13,63,71,77,207,260,53,0.186,0.559,L*+H
3,13,MD,14,OBJ,?,?,R1,?,?,3,Z,22,58,73,80,220,221,2,0.114,0.114,U
4,13,RB,3,ADV,?,?,R1,?,?,3,Z,30,53,74,84,211,257,45,0.143,0.43,L*+H
5,13,VB,3,VC,?,?,R1,?,?,3,Z,18,64,75,82,197,233,36,0.226,0.226,S
6,13,IN,5,ADV,?,?,R1,?,?,3,Z,14,61,72,76,198,208,10,0.164,0.164,S
7,13,DT,8,NMOD,?,?,R1,?,?,3,Z,8,66,72,74,198,199,1,0.075,0.075,U
8,13,NN,6,PMOD,?,?,R1,?,?,3,Z,25,55,69,80,194,230,36,0.131,0.394,LH-
9,13,JJ,11,NMOD,?,?,R1,?,?,3,Z,6,73,76,78,194,211,18,0.139,0.278,H*
10,13,JJ,11,NMOD,?,?,R1,?,?,3,Z,21,51,66,72,190,209,19,0.318,0.318,S
11,13,NN,5,TMP,?,?,R1,?,?,3,Z,17,56,68,73,168,195,27,0.255,0.255,LL-
12,13,PRP,14,SBJ,?,?,SP1,?,?,3,Z,21,50,60,71,168,194,26,0.173,0.173,U
13,13,VBD,0,ROOT,?,?,SP1,?,?,3,Z,29,44,63,74,167,180,12,0.466,0.466,LL-
1,8,RB,6,SBJ,?,?,T1,?,?,2,A,19,60,74,80,213,242,29,0.168,0.168,L*+H
2,8,PDT,3,NMOD,?,?,T1,?,?,2,A,11,68,76,80,224,247,22,0.164,0.164,S
3,8,DT,1,NMOD,?,?,T1,?,?,2,A,15,64,73,79,238,246,8,0.252,0.252,S
4,8,WP,5,SBJ,?,?,T1,?,?,2,A,6,71,74,77,221,243,23,0.1,0.1,U
5,8,VBD,3,NMOD,?,?,T1,?,?,2,A,9,70,76,80,105,225,119,0.182,0.182,LH-
6,8,VBP,0,ROOT,?,?,R1,?,?,2,Z,30,49,67,78,92,209,118,0.208,0.416,L*
7,8,DT,8,NMOD,?,?,R1,?,?,2,Z,17,54,64,71,187,193,6,0.08,0.08,U
8,8,NNS,6,OBJ,?,?,R1,?,?,2,Z,25,47,64,72,177,180,3,0.357,0.714,LL-
1,16,VBG,9,ADV,?,?,SP1,?,?,3,A,35,46,68,81,232,264,32,0.152,0.456,L*+H
2,16,TO,1,PMOD,?,?,SP1,?,?,3,A,5,71,74,76,250,259,9,0.059,0.059,U
3,16,DT,4,NMOD,?,?,SP1,?,?,3,A,13,68,75,81,228,256,28,0.243,0.243,U
4,16,NNS,2,PMOD,?,?,SP1,?,?,3,A,35,44,67,79,189,231,42,0.259,0.777,LH-
5,16,DT,8,NMOD,?,?,T1,?,?,3,B,11,66,72,77,205,217,12,0.121,0.121,U
6,16,NN,8,NMOD,?,?,T1,?,?,3,B,12,66,75,78,207,246,38,0.21,0.21,L*+H
7,16,NNS,9,SBJ,?,?,T1,?,?,3,B,18,60,71,78,207,237,30,0.211,0.423,S
8,16,MD,0,ROOT,?,?,R1,?,?,3,Z,22,50,63,72,201,207,5,0.157,0.157,U
9,16,VB,9,VC,?,?,R1,?,?,3,Z,17,60,69,78,202,218,17,0.193,0.193,S
10,16,NN,12,NMOD,?,?,R1,?,?,3,Z,11,68,74,80,210,226,16,0.152,0.456,L*+H
11,16,NNS,10,OBJ,?,?,R1,?,?,3,Z,33,49,65,82,189,217,28,0.378,0.755,HL-
12,16,IN,10,EXT,?,?,R1,?,?,3,Z,5,72,75,77,202,206,4,0.118,0.118,S
13,16,RBR,16,DEP,?,?,R1,?,?,3,Z,9,72,77,80,192,202,10,0.19,0.19,H*
14,16,IN,16,DEP,?,?,R1,?,?,3,Z,4,72,74,76,182,193,12,0.105,0.105,U
15,16,DT,17,NMOD,?,?,R1,?,?,3,Z,6,67,71,73,182,185,3,0.079,0.079,U
16,16,JJ,13,PMOD,?,?,R1,?,?,3,Z,24,52,64,75,48,196,148,0.421,0.421,LL-
1,8,DT,2,NMOD,?,?,T1,?,?,2,A,21,61,75,81,220,226,5,0.115,0.115,U
2,8,NNP,5,NMOD,?,?,T1,?,?,2,A,13,68,74,81,218,268,50,0.158,0.474,L*+H
3,8,NNP,5,NAME,?,?,T1,?,?,2,A,14,64,74,78,210,231,21,0.171,0.341,S
4,8,NNP,7,SBJ,?,?,T1,?,?,2,A,36,43,65,80,189,261,72,0.549,0.549,LH-
5,8,RB,7,MNR,?,?,R1,?,?,2,Z,16,62,74,78,192,235,43,0.128,0.514,H*
6,8,VBD,0,ROOT,?,?,R1,?,?,2,Z,27,50,69,76,190,222,32,0.144,0.431,S
7,8,DT,9,NMOD,?,?,R1,?,?,2,Z,12,67,74,79,185,203,18,0.23,0.23,S
8,8,NNS,7,OBJ,?,?,R1,?,?,2,Z,28,46,63,74,179,186,6,0.231,0.692,LL-
