@relation spk4m

@attribute IdW numeric
@attribute TotLines numeric
@attribute PoS {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute DepId numeric
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,NAME,POSTHON,NMOD,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,LGS,SUB,LOCbPRD}
@attribute Prop {P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {T1,R1,SP1}
@attribute TH3 {T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute IntRange numeric
@attribute 'min [dB]' numeric
@attribute 'RMS [dB]' numeric
@attribute 'max [dB]' numeric
@attribute 'MinPitch (Hz)' numeric
@attribute 'MaxPitch (Hz)' numeric
@attribute PitchRange numeric
@attribute 'Speech ratio' numeric
@attribute Duration[ms] numeric
@attribute ToBI {S,L*+H,LL-,HL-,U,H*,L*,LH-,HH-}

@data
12,13,NN,14,CONJ,?,?,R1,?,?,2,Z,19,55,68,74,82,98,17,0.163,0.326,S
13,13,NNS,8,OBJ,?,?,R1,?,?,2,Z,33,37,58,70,0,0,0,0.296,0.592,LL-
1,16,DT,3,NMOD,?,?,T1,?,?,2,A,21,56,70,77,131,134,3,0.094,0.094,U
2,16,VBN,3,NMOD,?,?,T1,?,?,2,A,27,51,65,78,127,209,82,0.215,0.43,L*+H
3,16,NNS,5,SBJ,?,?,T1,?,?,2,A,36,42,67,78,109,143,34,0.306,0.613,S
4,16,RB,5,ADV,?,?,R1,?,?,2,Z,26,52,71,77,120,156,36,0.194,0.389,L*+H
5,16,MD,0,ROOT,?,?,R1,?,?,2,Z,7,68,72,75,129,141,12,0.094,0.094,U
6,16,VB,5,VC,?,?,R1,?,?,2,Z,6,68,72,74,111,283,172,0.162,0.324,S
7,16,NNS,6,OBJ,?,?,R1,?,?,2,Z,24,52,67,76,101,276,175,0.186,0.742,LH-
8,16,TO,6,OPRD,?,?,R1,?,?,2,Z,14,61,68,75,116,138,22,0.147,0.147,U
9,16,VB,8,IM,?,?,R1,?,?,2,Z,29,47,64,76,102,280,178,0.224,0.448,S
10,16,NNS,9,OBJ,?,?,R1,?,?,2,Z,24,51,68,75,116,141,25,0.183,0.731,H*
11,16,IN,10,NMOD,?,?,R1,?,?,2,Z,12,59,64,71,105,117,13,0.144,0.144,U
12,16,NNS,11,PMOD,?,?,R1,?,?,2,Z,26,49,66,76,103,112,9,0.285,0.569,S
13,16,RB,9,TMP,?,?,R1,?,?,2,Z,23,52,69,75,95,126,31,0.221,0.442,L*+H
14,16,CC,13,COORD,?,?,R1,?,?,2,Z,9,60,66,69,98,105,7,0.155,0.155,U
15,16,RBR,16,AMOD,?,?,R1,?,?,2,Z,14,59,67,72,95,100,5,0.316,0.316,S
16,16,RB,14,CONJ,?,?,R1,?,?,2,Z,19,50,61,69,36,85,49,0.221,0.441,LL-
1,10,RB,4,NMOD,?,?,SP1,?,?,3,A,24,54,70,78,107,151,44,0.165,0.661,L*+H
2,10,DT,4,NMOD,?,?,T1,?,?,3,B,15,61,70,76,134,141,8,0.094,0.094,U
3,10,NN,5,SBJ,?,?,T1,?,?,3,B,23,53,70,76,104,145,41,0.164,0.492,L*+H
4,10,VBD,0,ROOT,?,?,R1,?,?,3,Z,12,60,67,72,103,113,9,0.15,0.15,S
5,10,RB,5,ADV,?,?,R1,?,?,3,Z,11,64,73,76,112,129,17,0.241,0.241,H*
6,10,RB,5,ADV,?,?,R1,?,?,3,Z,16,58,69,74,91,118,27,0.194,0.388,S
7,10,VB,5,VC,?,?,R1,?,?,3,Z,11,63,70,74,93,111,19,0.174,0.348,S
8,10,IN,8,ADV,?,?,R1,?,?,3,Z,6,64,70,71,98,108,10,0.11,0.11,U
9,10,DT,11,NMOD,?,?,R1,?,?,3,Z,4,67,69,71,95,98,3,0.169,0.169,S
10,10,NN,9,PMOD,?,?,R1,?,?,3,Z,23,50,64,72,80,92,11,0.254,0.507,LL-
1,14,CC,14,DEP,?,?,SP1,?,?,4,A,16,61,73,77,118,123,5,0.134,0.134,U
2,14,IN,3,DEP,?,?,T1,?,?,4,B,26,53,72,78,115,124,8,0.103,0.207,S
3,14,CD,4,NMOD,?,?,T1,?,?,4,B,25,53,68,78,121,145,24,0.164,0.822,L*+H
4,14,IN,4,NMOD,?,?,T1,?,?,4,B,3,69,71,72,107,121,13,0.078,0.078,U
5,14,DT,7,NMOD,?,?,T1,?,?,4,B,22,49,63,70,95,298,204,0.186,0.186,U
6,14,NNS,5,PMOD,?,?,T1,?,?,4,B,23,53,67,76,87,117,31,0.283,0.848,HL-
7,14,VBG,4,NMOD,?,?,SP2,?,?,4,C,26,48,65,75,90,106,16,0.159,0.476,L*
8,14,TO,9,PMOD,?,?,SP2,?,?,4,C,17,56,65,73,0,0,0,0.171,0.171,U
9,14,NNP,12,NMOD,?,?,SP2,?,?,4,C,13,61,68,74,85,98,12,0.153,0.46,S
10,14,NNS,10,PMOD,?,?,SP2,?,?,4,C,27,45,60,72,79,89,10,0.357,0.714,LL-
11,14,VBP,0,ROOT,?,?,R1,?,?,4,Z,30,47,69,78,108,115,8,0.357,0.357,H*
12,14,PRP$,16,NMOD,?,?,R1,?,?,4,Z,4,69,72,73,110,119,9,0.109,0.109,U
13,14,NNS,14,OBJ,?,?,R1,?,?,4,Z,26,47,63,74,89,110,20,0.248,0.496,S
14,14,RB,14,ADV,?,?,R1,?,?,4,Z,14,54,62,68,202,235,33,0.271,0.271,LL-
1,13,DT,2,NMOD,?,?,T1,?,?,3,A,16,59,69,75,0,0,0,0.109,0.109,U
2,13,NNP,3,SBJ,?,?,T1,?,?,3,A,16,61,72,77,130,149,19,0.19,0.57,L*+H
3,13,MD,14,OBJ,?,?,R1,?,?,3,Z,10,64,71,74,104,130,26,0.152,0.152,U
4,13,RB,3,ADV,?,?,R1,?,?,3,Z,25,53,68,78,89,133,44,0.188,0.565,L*+H
5,13,VB,3,VC,?,?,R1,?,?,3,Z,16,60,72,76,108,115,7,0.267,0.267,S
6,13,IN,5,ADV,?,?,R1,?,?,3,Z,21,51,66,71,109,114,5,0.155,0.155,S
7,13,DT,8,NMOD,?,?,R1,?,?,3,Z,11,61,68,72,97,109,12,0.136,0.136,U
8,13,NN,6,PMOD,?,?,R1,?,?,3,Z,23,52,68,76,103,285,182,0.183,0.55,HL-
