@relation spk5f

@attribute IdW numeric
@attribute TotLines numeric
@attribute PoS {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute DepId numeric
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,NAME,POSTHON,NMOD,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,LGS,SUB,LOCbPRD}
@attribute Prop {P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {T1,R1,SP1}
@attribute TH3 {T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute IntRange numeric
@attribute 'min [dB]' numeric
@attribute 'RMS [dB]' numeric
@attribute 'max [dB]' numeric
@attribute 'MinPitch (Hz)' numeric
@attribute 'MaxPitch (Hz)' numeric
@attribute PitchRange numeric
@attribute 'Speech ratio' numeric
@attribute Duration[ms] numeric
@attribute ToBI {S,L*+H,LL-,LH-,U,H*,HL-,L*,HH-}

@data
6,8,VBD,0,ROOT,?,?,R1,?,?,2,Z,38,37,62,74,164,224,61,0.237,0.71,S
7,8,DT,9,NMOD,?,?,R1,?,?,2,Z,26,49,68,75,194,220,26,0.219,0.219,S
8,8,NNS,7,OBJ,?,?,R1,?,?,2,Z,39,34,58,74,139,170,31,0.241,0.724,LL-
1,18,DT,3,NMOD,?,?,T1,?,?,3,A,41,31,56,72,233,240,7,0.147,0.147,U
2,18,VBN,3,NMOD,?,?,T1,?,?,3,A,27,52,68,79,132,315,183,0.236,0.472,L*+H
3,18,NNS,5,SBJ,?,?,T1,?,?,3,A,28,51,67,78,208,248,40,0.54,0.54,HL-
4,18,RB,5,ADV,?,?,R1,?,?,3,B,32,44,69,76,208,257,50,0.181,0.362,L*+H
5,18,MD,18,OBJ,?,?,R1,?,?,3,B,24,49,64,72,196,213,16,0.178,0.178,U
6,18,VB,5,VC,?,?,R1,?,?,3,B,19,47,61,66,208,211,3,0.11,0.11,S
7,18,JJR,6,PRD,?,?,R1,?,?,3,B,29,49,66,78,159,224,65,0.241,0.482,L*+H
8,18,IN,6,ADV,?,?,R1,?,?,3,B,9,62,68,72,201,209,8,0.121,0.121,S
9,18,DT,10,NMOD,?,?,R1,?,?,3,B,1,67,67,67,196,204,8,0.079,0.079,U
10,18,NNS,8,PMOD,?,?,R1,?,?,3,B,20,53,65,73,159,228,69,0.262,0.786,HL-
11,18,RB,12,ADV,?,?,R1,?,?,3,B,26,51,67,77,239,258,19,0.309,0.309,H*
12,18,VBN,10,APPO,?,?,R1,?,?,3,B,35,45,66,80,180,271,91,0.296,0.592,S
13,18,TO,12,OPRD,?,?,R1,?,?,3,B,9,56,60,65,225,230,5,0.105,0.105,U
14,18,VB,13,IM,?,?,R1,?,?,3,B,27,51,71,78,177,196,19,0.309,0.309,S
15,18,NNS,14,OBJ,?,?,R1,?,?,3,B,31,39,58,70,171,177,6,0.233,0.466,LL-
17,18,PRP,18,SBJ,?,?,SP1,?,?,3,Z,6,57,59,62,171,189,18,0.09,0.09,U
18,18,VBD,0,ROOT,?,?,SP1,?,?,3,Z,17,46,57,63,68,138,69,0.305,0.305,LL-
1,21,NNS,2,SBJ,?,?,T1,?,?,4,A,52,28,68,80,137,316,179,0.173,0.519,L*+H
2,21,MD,0,ROOT,?,?,R1,?,?,4,B,17,58,68,75,221,283,62,0.137,0.137,U
